_id,ANKARAY DURAK ADI,ANKARAY DURAK ADRESI,ANKARAY DURAK ILCESI,"1 DURAKTAN GECEN ORTALAMA 1 GUNLUK SEFER SAYISI
(ARALIK 2022)",1 DURAGI KULLANAN 1 GUNLUK ORTALAMA KISI SAYISI
1,AŞTİ İSTASYONU,"Emek Kırım Caddesi, No: 86/A 06490",ÇANKAYA/ANKARA,183,11682
2,EMEK İSTASYONU,"Emek Kırım Caddesi, No: 62/A 06490",ÇANKAYA/ANKARA,183,3106
3,BAHÇELİEVLER İSTASYONU,"Emek, Bişkek Cd. No:2/ , 06490",ÇANKAYA/ANKARA,183,5784
4,BEŞEVLER İSTASYONU,"Dögol Cad. No: 55/A, 06490",ÇANKAYA/ANKARA,183,13958
5,ANADOLU ANITKABİR İSTASYONU,"Maltepe, Gazi Mustafa Kemal Bulv. No:153, 06570",ÇANKAYA/ANKARA,183,5214
6,MALTEPE İSTASYONU,"Maltepe, Gazi Mustafa Kemal Bulv. No:113/A, 06570",ÇANKAYA/ANKARA,183,5443
7,DEMİRTEPE İSTASYONU,",Gazi Mustafa Kemal Bulv. No:41, 06570",ÇANKAYA/ANKARA,183,3512
8,15 TEMMUZ MİLİ İRADE KIZILAY İSTASYONU,Hürriyet Meydanı No:1,ÇANKAYA/ANKARA,183,32815
9,KOLEJ İSTASYONU,Ziya Gökalp Cad. No:49/A,ÇANKAYA/ANKARA,183,6737
10,KURTULUŞ İSTASYONU," Cemal Gürsel Cad. No:32/B ,06590 ",ÇANKAYA/ANKARA,183,11499
11,DİKİMEVİ İSTASYONU,"Cebeci, Cemal Gürsel Cad. No:121/C, 06590 ",ÇANKAYA/ANKARA,183,24757
