_id,DURAK ADI,DURAK NUMARASI,DURAK ADRESI,DURAK ILCESI,DURAKTAN GECEN HAT SAYISI,HATLARDAKI ORTALAMA 1 GUNLUK ARAC SAYISI,DURAKTAN GECEN HAT NUMARALARI,HAT GUZERGAH BILGILERI
1,10001,10001,Hürriyet Mh. Sanayi Cd. Sincan,,,,,
2,10002,10001,Hürriyet Mh. İrfan Züm Cd. Sincan,,,,,
3,10003,10001,Hürriyet Mh. İrfan Züm Cd. Sincan,,,,,
4,10004,10002,Hürriyet Mh. Çamlık Cd. Sincan,,,,,
5,10005,10002,Hürriyet Mh. Kazanoğlu Cd. Sincan,,,,,
6,10006,10003,Hürriyet Mh. Kazanoğlu Cd. Sincan,,,,,
7,10007,10003,Hürriyet Mh. Sanayi Cd. Sincan,,,,,
8,10008,10004,Hürriyet Mh. İrfan Züm Cd. Sincan,,,,,
9,10009,10004,Hürriyet Mh. İrfan Züm Cd. Sincan,,,,,
10,10010,10005,Hürriyet Mh. Başçavuş Sk. Sincan,,,,,
11,10011,10005,Hürriyet Mh. Barış Cd. Sincan,,,,,
12,10012,10006,Hürriyet Mh. 19 Mayıs Cd. Sincan,,,,,
13,10013,10006,Hürriyet Mh. Ankara Eskişehir Yolu Sincan,,,,,
14,10014,10007,Hürriyet Mh. Ankara Eskişehir Yolu Sincan,,,,,
15,10015,10008,Hürriyet Mh. İrfan Züm Cd. Sincan,,,,,
16,10016,10008,Yukarı Dikmen Mh. Çankaya,,,,,
17,10017,10009,Bahçelievler Mh. 206. Cd. Gölbaşı,,,,,
18,10019,10009,,,,,,
19,10020,10010,,,,,,
20,10021,10010,,,,,,
21,10022,10011,,,,,,
22,10023,10011,,,,,,
23,10024,10012,Alagöz Mh. Ankara Eskişehir Yolu Sincan,,,,,
24,10025,10012,Alagöz Mh. Ankara Eskişehir Yolu Sincan,,,,,
25,10026,10013,Alagöz Mh. Ankara Eskişehir Yolu Sincan,,,,,
26,10027,10013,Alagöz Mh. Ankara Eskişehir Yolu Sincan,,,,,
27,10028,10013,,,,,,
28,10029,10013,,,,,,
29,10030,10014,,,,,,
30,10031,10014,Balıkuyumcu Mh. Ballıkuyumcu İÖO Yenimahalle,,,,,
31,10032,10014,Balıkuyumcu Mh. Ballıkuyumcu İÖO Yenimahalle,,,,,
32,10033,10014,Subaşı Mh. Çokören Yolu Gölbaşı,,,,,
33,10034,10015,Subaşı Mh. Çokören Yolu Gölbaşı,,,,,
34,10035,10015,Hisarlıkaya Mh. Yöntemli Sk. Sincan,,,,,
35,10036,10017,Hisarlıkaya Mh. Yöntemli Sk. Sincan,,,,,
36,10037,10017,Hisarlıkaya Mh. Yöntemli Sk. Sincan,,,,,
37,10038,10019,Subaşı Mh. Çokören Yolu Gölbaşı,,,,,
38,10039,10019,Balıkuyumcu Mh. Ballıkuyumcu İÖO Yenimahalle,,,,,
39,10040,10019,Balıkuyumcu Mh. Ballıkuyumcu İÖO Yenimahalle,,,,,
40,10041,10019,Hisarlıkaya Mh. Yöntemli Sk. Sincan,,,,,
41,10042,10019,Hisarlıkaya Mh. Yöntemli Sk. Sincan,,,,,
42,10044,10020,Balıkuyumcu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
43,10045,10020,Balıkuyumcu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
44,10046,10020,Balıkuyumcu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
45,10047,10020,Balıkuyumcu Mh. Ballıkuyumcu İÖO Yenimahalle,,,,,
46,10048,10020,Alacaatlı Mh. Mh. Ümitköy - Alacaatlı Köyü Yolu Yenimahalle,,,,,
47,10049,10021,Üniversiteler Mh. Mh. Beytepe Köyü Yolu Çankaya,,,,,
48,10050,10021,Üniversiteler Mh. 1598. Cd. Çankaya,,,,,
49,10051,10021,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
50,10052,10021,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
51,10053,10021,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
52,10054,10022,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
53,10055,10022,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
54,10056,10023,Balıkuyumcu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
55,10057,10023,,,,,,
56,10058,10023,,,,,,
57,10059,10024,Alacaatlı Mh. Alacaatlı - İncek Yolu Çankaya,,,,,
58,10060,10024,Deveci Köyü İrfan Sk. Haymana,,,,,
59,10061,10024,Deveci Köyü İrfan Sk. Haymana,,,,,
60,10062,10025,Gaziosmanpaşa Mh. Şehit Ali Gaffar Okkan Cd. Gölbaşı,,,,,
61,10063,10025,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
62,10064,10025,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
63,10065,10026,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
64,10066,10026,Yukarıyurtçu Mh. Eskişehir Yolu Yenimahalle,,,,,
65,10067,10026,Aşağıyurtçu Mh. Ankara Eskişehir Yolu Yenimahalle,,,,,
66,10068,10027,İncek Mh. Alacaatlı - İncek Yolu Gölbaşı,,,,,
67,10069,10027,Yukarıyurtçu Mh. Eskişehir Yolu Yenimahalle,,,,,
68,10070,10027,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
69,10071,10028,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
70,10072,10028,,,,,,
71,10073,10029,,,,,,
72,10074,10029,İşçi Blokları Mh. 1427. Cd. Çankaya,,,,,
73,10075,10029,İşçi Blokları Mh. 1427. Cd. Çankaya,,,,,
74,10076,10030,İncek Mh. 3035. Cd. Gölbaşı,,,,,
75,10077,10030,Yeniyapançarşak Mh. Yeniyapançarşak Sk. Bala,,,,,
76,10078,10030,Emirler Mh. Gölbaşı,,,,,
77,10079,10031,Gaziosmanpaşa Mh. Şehit Ali Gaffar Okkan Cd. Gölbaşı,,,,,
78,10080,10032,Emniyet Mh. AÜ İlahiyat Fakültesi Yenimahalle,,,,,
79,10081,10033,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
80,10082,10034,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
81,10083,10035,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
82,10084,10036,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
83,10085,10037,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
84,10086,10038,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
85,10087,10039,Yukarıyurtçu Mh. Eskişehir Yolu Yenimahalle,,,,,
86,10088,10040,Yukarıyurtçu Mh. Eskişehir Yolu Yenimahalle,,,,,
87,10089,10041,Yukarıyurtçu Mh. Eskişehir Yolu Yenimahalle,,,,,
88,10090,10042,Yukarıyurtçu Mh. Turkuaz TOKİ Konutları Yenimahalle,,,,,
89,10091,10044,Alacaatlı Mh. Mh. Alacaatlı Mucur Tesisleri Yolu Yenimahalle,,,,,
90,10092,10044,,,,,,
91,10093,10044,,,,,,
92,10094,10044,,,,,,
93,10095,10045,,,,,,
94,10096,10045,Yapracık Mh. Eskişehir Yolu Etimesgut,,,,,
95,10097,10045,Yapracık Mh. Eskişehir Yolu Etimesgut,,,,,
