id,name,type,address,district,lat,lng,routes
ANKARAY_1,AŞTİ İSTASYONU,ANKARAY_STATION,"Emek Kırım Caddesi, No: 86/A 06490",ÇANKAYA/ANKARA,39.9476,32.8145,ANKARAY
ANKARAY_2,EMEK İSTASYONU,ANKARAY_STATION,"Emek Kırım Caddesi, No: 62/A 06490",ÇANKAYA/ANKARA,39.9442,32.8158,ANKARAY
ANKARAY_3,BAHÇELİEVLER İSTASYONU,ANKARAY_STATION,"Emek, Bişkek Cd. No:2/ , 06490",ÇANKAYA/ANKARA,39.9392,32.8177,ANKARAY
ANKARAY_4,BEŞEVLER İSTASYONU,ANKARAY_STATION,"Dögol Cad. No: 55/A, 06490",ÇANKAYA/ANKARA,39.9335,32.8195,ANKARAY
ANKARAY_5,ANADOLU ANITKABİR İSTASYONU,ANKARAY_STATION,"Maltepe, Gazi Mustafa Kemal Bulv. No:153, 06570",ÇANKAYA/ANKARA,39.9285,32.8275,ANKARAY
ANKARAY_6,MALTEPE İSTASYONU,ANKARAY_STATION,"Maltepe, Gazi Mustafa Kemal Bulv. No:113/A, 06570",ÇANKAYA/ANKARA,39.9246,32.8454,ANKARAY
ANKARAY_7,DEMİRTEPE İSTASYONU,ANKARAY_STATION,",Gazi Mustafa Kemal Bulv. No:41, 06570",ÇANKAYA/ANKARA,39.9208,32.854,ANKARAY
ANKARAY_8,15 TEMMUZ MİLİ İRADE KIZILAY İSTASYONU,ANKARAY_STATION,Hürriyet Meydanı No:1,ÇANKAYA/ANKARA,39.9199,32.8543,ANKARAY
ANKARAY_9,KOLEJ İSTASYONU,ANKARAY_STATION,Ziya Gökalp Cad. No:49/A,ÇANKAYA/ANKARA,39.9222,32.8658,ANKARAY
ANKARAY_10,KURTULUŞ İSTASYONU,ANKARAY_STATION,"Cemal Gürsel Cad. No:32/B ,06590",ÇANKAYA/ANKARA,39.9262,32.8722,ANKARAY
ANKARAY_11,DİKİMEVİ İSTASYONU,ANKARAY_STATION,"Cebeci, Cemal Gürsel Cad. No:121/C, 06590",ÇANKAYA/ANKARA,39.9337,32.8771,ANKARAY
