id,name,type,address,district,lat,lng,routes
METRO_1,ATATÜRK KÜLTÜR MERKEZİ,METRO_STATION,ZÜBEYDE HANIM MAH. İSTANBUL CAD. ÜZERİ,ALTINDAĞ,39.945,32.8597,M1;M2;M3;M4
METRO_2,ULUS,METRO_STATION,ANAFARTALAR MAH. İSTANBUL CAD. GENÇLİK PARKI YANI,ALTINDAĞ,39.9432,32.8568,M1;M2;M3
METRO_3,GAZİNO,METRO_STATION,ZÜBEYDE HANIM MAH. KAZIM KARABEKİR CAD. NO:3-1,ALTINDAĞ,39.9458,32.8623,M4
METRO_4,DUTLUK,METRO_STATION,ANAFARTALAR MAH.KAZIM KARABEKİR CAD. NO:70-4,ALTINDAĞ,39.9472,32.8698,M4
METRO_5,KUYUBAŞI,METRO_STATION,ZİRAAT MAH.FATİH CAD. NO:3,ALTINDAĞ,39.9489,32.8756,M4
METRO_6,SIHHIYE,METRO_STATION,ETİ MAH. ATATÜRK BULV. ÜZERİ SIHHIYE,ÇANKAYA,39.9279,32.8512,M1;M2;M3
METRO_7,KIZILAY,METRO_STATION,DEVLET MAH. 15 TEMMUZ KIZILAY MEYDANI,ÇANKAYA,39.9199,32.8543,M1;M2;M3
METRO_8,NECATİBEY,METRO_STATION,DEVLET MAH. İNÖNÜ BULV. ÜZERİ,ÇANKAYA,39.9156,32.8467,M1;M2;M3
METRO_9,MİLLİ KÜTÜPHANE,METRO_STATION,EMEK MAH. İNÖNÜ BULVARI ÜZERİ,ÇANKAYA,39.9123,32.8382,M1;M2;M3
METRO_10,SÖĞÜTÖZÜ,METRO_STATION,BEŞTEPE MAH. DUMLUPINAR BULV. NO: 14,ÇANKAYA,39.9075,32.8295,M1;M2;M3
METRO_11,MTA,METRO_STATION,ÇUKURAMBAR MAH. DUMLUPINAR BULV. NO:82,ÇANKAYA,39.9002,32.8213,M1;M2;M3
METRO_12,ODTÜ,METRO_STATION,ÜNİVERSİTELER MAH. DUMLUPINAR BULV.,ÇANKAYA,39.8924,32.8134,M1;M2;M3
METRO_13,BİLKENT,METRO_STATION,ÜNİVERSİTELER MAH. BİLKENT KAVŞAĞI,ÇANKAYA,39.8786,32.7942,M1;M2;M3
METRO_14,TARIM BAKANLIĞI - DANIŞTAY,METRO_STATION,ÜNİVERSİTELER MAH. DUMLUPINAR MAH.,ÇANKAYA,39.8693,32.7823,M1;M2;M3
METRO_15,BEYTEPE,METRO_STATION,ÜNİVERSİTELER MAH. DUMLUPINAR BULV.,ÇANKAYA,39.8612,32.7734,M1;M2;M3
METRO_16,ÜMİTKÖY,METRO_STATION,ÜMİT MAH. DUMLUPINAR BULV. ÜZERİ ÜMİTKÖY KAVŞAĞI,ÇANKAYA,39.8523,32.7645,M1;M2;M3
