_id,METRO HAT ADI,METRO DURAK ADI,METRO DURAK ADRESI,METRO DURAK ILCESI,"1 DURAKTAN GECEN ORTALAMA 
1 GUNLUK SEFER SAYISI 
(ARALIK 2022)","1 DURAGI KULLANAN 
1 GUNLUK ORTALAMA KISI SAYISI"
1,"ANKARA METROSU
M1-M2-M3",ATATÜRK KÜLTÜR MERKEZİ,ZÜBEYDE HANIM MAH. İSTANBUL CAD. ÜZERİ,ALTINDAĞ,182,3851
2,"ANKARA METROSU
M1-M2-M3",ULUS,ANAFARTALAR MAH. İSTANBUL CAD. GENÇLİK PARKI YANI,ALTINDAĞ,182,8593
3,"ANKARA METROSU
M4",GAZİNO,ZÜBEYDE HANIM MAH. KAZIM KARABEKİR CAD. NO:3-1 ALTINDAĞ,ALTINDAĞ,150,3633
4,"ANKARA METROSU
M4",DUTLUK,ANAFARTALAR MAH.KAZIM KARABEKİR CAD. NO:70-4 ,ALTINDAĞ,150,4938
5,"ANKARA METROSU
M4",KUYUBAŞI,ZİRAAT MAH.FATİH CAD. NO:3 ,ALTINDAĞ,150,4655
6,"ANKARA METROSU
M1-M2-M3",SIHHIYE,ETİ MAH. ATATÜRK BULV. ÜZERİ SIHHIYE,ÇANKAYA,182,25386
7,"ANKARA METROSU
M1-M2-M3",KIZILAY,DEVLET MAH. 15 TEMMUZ KIZILAY MEYDANI,ÇANKAYA,182,52076
8,"ANKARA METROSU
M1-M2-M3",NECATİBEY,DEVLET MAH. İNÖNÜ BULV. ÜZERİ (ESKİŞEHİRYOLU ÜZERİ)      ,ÇANKAYA,182,3641
9,"ANKARA METROSU
M1-M2-M3",MİLLİ KÜTÜPHANE,EMEK MAH. İNÖNÜ BULVARI ÜZERİ  ENERJİ BAKANLIĞI TEDAŞ ÖNÜ  BALGAT,ÇANKAYA,182,8824
10,"ANKARA METROSU
M1-M2-M3",SÖĞÜTÖZÜ,BEŞTEPE MAH. DUMLUPINAR BULV.  NO: 14 ARMADA KARŞISI  ,ÇANKAYA,182,15534
11,"ANKARA METROSU
M1-M2-M3",MTA,ÇUKURAMBAR MAH. DUMLUPINAR BULV. NO:82  MTA YANI,ÇANKAYA,182,5971
12,"ANKARA METROSU
M1-M2-M3",ODTÜ,ÜNİVERSİTELER MAH. DUMLUPINAR BULV. ODTÜ NİZAMİYE YANI,ÇANKAYA,182,7405
13,"ANKARA METROSU
M1-M2-M3",BİLKENT,ÜNİVERSİTELER  MAH. BİLKENT KAVŞAĞI DİYANET İŞLERİ BAŞK. YANI,ÇANKAYA,182,8120
14,"ANKARA METROSU
M1-M2-M3",TARIM BAKANLIĞI - DANIŞTAY,ÜNİVERSİTELER MAH. DUMLUPINAR MAH. TARIM BAKANLIĞI YANI,ÇANKAYA,182,7895
15,"ANKARA METROSU
M1-M2-M3",BEYTEPE,ÜNİVERSİTELER MAH. DUMLUPINAR BULV. BEYTEPE ÜNİ. KAMPÜS KAVŞAĞI,ÇANKAYA,182,10940
16,"ANKARA METROSU
M1-M2-M3",ÜMİTKÖY,ÜMİT MAH. DUMLUPINAR BULV. ÜZERİ ÜMİTKÖY KAVŞAĞI,ÇANKAYA,182,8709
17,"ANKARA METROSU
M1-M2-M3",ÇAYYOLU,ÜMİT MAH. ANKARALILAR CAD. GORDİON AVM YANI,ÇANKAYA,182,4645
18,"ANKARA METROSU
M1-M2-M3",KORU,KORU MAH. ANKARALILAR CAD. ÜZERİ,ÇANKAYA,182,19516
19,"ANKARA METROSU
M1-M2-M3",DEVLET MAHALLESİ,TUNAHAN MAH. 232.SOKAK ,ETİMESGUT,182,6122
20,"ANKARA METROSU
M1-M2-M3",ERYAMAN 5,TUNAHAN MAH. ERYAMAN 5. ETAP 271.SOKAK NO:4,ETİMESGUT,182,5780
21,"ANKARA METROSU
M1-M2-M3",ERYAMAN 1-2,GÖKSU MAH. SELÇUKLULAR CAD. NO.19,ETİMESGUT,182,10292
22,"ANKARA METROSU
M4",MECİDİYE,KALABA MAH FATİH CAD. NO:14 ,KEÇİÖREN,150,3082
